NTK, AGOP, and Alignment Analysis Summary
vit_base_patch16_224 + albert_base_v2: NTK=0.1760, AGOP=2.99e+01, Align=0.0184
vit_base_patch16_224 + albert_large_v2: NTK=0.1781, AGOP=2.91e+01, Align=0.0177
vit_base_patch16_224 + xlnet_base_cased: NTK=0.2087, AGOP=2.00e+01, Align=0.0144
vit_base_patch16_224 + xlnet_large_cased: NTK=0.2013, AGOP=2.02e+01, Align=0.0191
vit_base_patch16_224 + distilroberta_base: NTK=0.1790, AGOP=2.91e+01, Align=0.0182
vit_base_patch16_224 + microsoft/DialoGPT-medium: NTK=0.1799, AGOP=3.00e+01, Align=0.0179
vit_small_patch16_224 + bert_base: NTK=0.2268, AGOP=3.08e+01, Align=0.0174
vit_small_patch16_224 + distilbert_base: NTK=0.2190, AGOP=3.14e+01, Align=0.0170
vit_small_patch16_224 + roberta_base: NTK=0.2156, AGOP=3.07e+01, Align=0.0167
vit_small_patch16_224 + roberta_large: NTK=0.2249, AGOP=3.10e+01, Align=0.0161
vit_small_patch16_224 + gpt2_medium: NTK=0.2250, AGOP=3.11e+01, Align=0.0177
vit_small_patch16_224 + gpt2_large: NTK=0.2223, AGOP=3.11e+01, Align=0.0177
vit_small_patch16_224 + albert_base_v2: NTK=0.2284, AGOP=3.07e+01, Align=0.0194
vit_small_patch16_224 + albert_large_v2: NTK=0.2253, AGOP=3.14e+01, Align=0.0184
vit_small_patch16_224 + xlnet_base_cased: NTK=0.2203, AGOP=3.06e+01, Align=0.0181
vit_small_patch16_224 + xlnet_large_cased: NTK=0.2198, AGOP=3.13e+01, Align=0.0193
vit_small_patch16_224 + distilroberta_base: NTK=0.2118, AGOP=3.12e+01, Align=0.0156
vit_small_patch16_224 + microsoft/DialoGPT-medium: NTK=0.2148, AGOP=3.12e+01, Align=0.0168
deit_base_patch16_224 + bert_base: NTK=0.1790, AGOP=8.36e+01, Align=0.0170
deit_base_patch16_224 + distilbert_base: NTK=0.1862, AGOP=8.37e+01, Align=0.0156
deit_base_patch16_224 + roberta_base: NTK=0.1828, AGOP=8.45e+01, Align=0.0172
deit_base_patch16_224 + roberta_large: NTK=0.1838, AGOP=8.50e+01, Align=0.0191
deit_base_patch16_224 + gpt2_medium: NTK=0.1814, AGOP=8.47e+01, Align=0.0189
deit_base_patch16_224 + gpt2_large: NTK=0.1849, AGOP=8.43e+01, Align=0.0181
deit_base_patch16_224 + albert_base_v2: NTK=0.1752, AGOP=8.43e+01, Align=0.0188
deit_base_patch16_224 + albert_large_v2: NTK=0.1796, AGOP=8.40e+01, Align=0.0196
deit_base_patch16_224 + xlnet_base_cased: NTK=0.2144, AGOP=5.75e+01, Align=0.0193
deit_base_patch16_224 + xlnet_large_cased: NTK=0.2015, AGOP=5.62e+01, Align=0.0141
deit_base_patch16_224 + distilroberta_base: NTK=0.1777, AGOP=8.48e+01, Align=0.0188
deit_base_patch16_224 + microsoft/DialoGPT-medium: NTK=0.1752, AGOP=8.45e+01, Align=0.0141
convnext_small + bert_base: NTK=0.1769, AGOP=2.03e+01, Align=0.0167
convnext_small + distilbert_base: NTK=0.1795, AGOP=2.03e+01, Align=0.0175
convnext_small + roberta_base: NTK=0.1780, AGOP=2.04e+01, Align=0.0181
convnext_small + roberta_large: NTK=0.1779, AGOP=2.04e+01, Align=0.0153
convnext_small + gpt2_medium: NTK=0.1727, AGOP=2.01e+01, Align=0.0182
convnext_small + gpt2_large: NTK=0.1703, AGOP=2.03e+01, Align=0.0203
convnext_small + albert_base_v2: NTK=0.1750, AGOP=2.02e+01, Align=0.0172
convnext_small + albert_large_v2: NTK=0.1777, AGOP=2.01e+01, Align=0.0168
convnext_small + xlnet_base_cased: NTK=0.1998, AGOP=1.40e+01, Align=0.0188
convnext_small + xlnet_large_cased: NTK=0.1934, AGOP=1.40e+01, Align=0.0156
convnext_small + distilroberta_base: NTK=0.1850, AGOP=2.04e+01, Align=0.0210
convnext_small + microsoft/DialoGPT-medium: NTK=0.1737, AGOP=2.04e+01, Align=0.0191
convnext_base + bert_base: NTK=0.2199, AGOP=1.56e+02, Align=0.0128
convnext_base + distilbert_base: NTK=0.2178, AGOP=1.58e+02, Align=0.0165
convnext_base + roberta_base: NTK=0.2243, AGOP=1.59e+02, Align=0.0156
convnext_base + roberta_large: NTK=0.2218, AGOP=1.57e+02, Align=0.0201
convnext_base + gpt2_medium: NTK=0.1887, AGOP=2.13e+02, Align=0.0174
convnext_base + gpt2_large: NTK=0.1968, AGOP=2.11e+02, Align=0.0144
convnext_base + albert_base_v2: NTK=0.2162, AGOP=1.57e+02, Align=0.0156
convnext_base + albert_large_v2: NTK=0.2205, AGOP=1.57e+02, Align=0.0186
convnext_base + xlnet_base_cased: NTK=0.2522, AGOP=1.06e+02, Align=0.0170
convnext_base + xlnet_large_cased: NTK=0.2524, AGOP=1.06e+02, Align=0.0163
convnext_base + distilroberta_base: NTK=0.2196, AGOP=1.58e+02, Align=0.0118
convnext_base + microsoft/DialoGPT-medium: NTK=0.1912, AGOP=2.11e+02, Align=0.0186
efficientnet_b1 + bert_base: NTK=0.0000, AGOP=1.61e+15, Align=0.0167
efficientnet_b1 + distilbert_base: NTK=0.0000, AGOP=1.19e+15, Align=0.0198
efficientnet_b1 + roberta_base: NTK=0.0000, AGOP=1.44e+15, Align=0.0172
efficientnet_b1 + roberta_large: NTK=0.0000, AGOP=1.12e+15, Align=0.0207
efficientnet_b1 + gpt2_medium: NTK=0.0000, AGOP=1.36e+15, Align=0.0203
efficientnet_b1 + gpt2_large: NTK=0.0000, AGOP=1.13e+15, Align=0.0175
efficientnet_b1 + albert_base_v2: NTK=0.0000, AGOP=1.25e+15, Align=0.0172
efficientnet_b1 + albert_large_v2: NTK=0.0000, AGOP=1.93e+15, Align=0.0165
efficientnet_b1 + xlnet_base_cased: NTK=0.0000, AGOP=1.08e+15, Align=0.0165
efficientnet_b1 + xlnet_large_cased: NTK=0.0000, AGOP=1.49e+15, Align=0.0156
efficientnet_b1 + distilroberta_base: NTK=0.0000, AGOP=1.63e+15, Align=0.0188
efficientnet_b1 + microsoft/DialoGPT-medium: NTK=0.0000, AGOP=1.17e+15, Align=0.0160
efficientnet_b2 + bert_base: NTK=0.7841, AGOP=1.78e+00, Align=0.0194
efficientnet_b2 + distilbert_base: NTK=0.8084, AGOP=1.54e+00, Align=0.0161
efficientnet_b2 + roberta_base: NTK=0.8123, AGOP=1.96e+00, Align=0.0165
efficientnet_b2 + roberta_large: NTK=0.7802, AGOP=1.49e+00, Align=0.0165
efficientnet_b2 + gpt2_medium: NTK=0.7994, AGOP=1.45e+00, Align=0.0167
efficientnet_b2 + gpt2_large: NTK=0.7937, AGOP=1.70e+00, Align=0.0167
efficientnet_b2 + albert_base_v2: NTK=0.7942, AGOP=1.46e+00, Align=0.0167
efficientnet_b2 + albert_large_v2: NTK=0.7927, AGOP=1.62e+00, Align=0.0177
efficientnet_b2 + xlnet_base_cased: NTK=0.7900, AGOP=1.64e+00, Align=0.0174
efficientnet_b2 + xlnet_large_cased: NTK=0.8159, AGOP=1.66e+00, Align=0.0212
efficientnet_b2 + distilroberta_base: NTK=0.8056, AGOP=1.78e+00, Align=0.0247
efficientnet_b2 + microsoft/DialoGPT-medium: NTK=0.7917, AGOP=1.71e+00, Align=0.0161
mixer_b16_224 + bert_base: NTK=0.1585, AGOP=1.04e+01, Align=0.0170
mixer_b16_224 + distilbert_base: NTK=0.1535, AGOP=1.06e+01, Align=0.0191
mixer_b16_224 + roberta_base: NTK=0.1595, AGOP=1.05e+01, Align=0.0194
