file,type,v_model,t_model,ntk_stability,agop_magnitude,alignment,phase_region,metadata,agop_log
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,vit_base_patch16_224,roberta_base,0.19284962117671967,31.778345108032227,0.014236112125217915,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.502131277102959
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,vit_base_patch16_224,gpt2_medium,0.19401560723781586,31.82417106628418,0.01788194291293621,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 1024, 'num_samples': 576}",1.5027571002759301
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,vit_base_patch16_224,albert_base_v2,0.19428454339504242,31.49464988708496,0.01788194477558136,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.4982367848430986
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,convnext_tiny,bert_base,0.24980144202709198,24.983600616455078,0.01631944626569748,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.397655028722436
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,convnext_tiny,roberta_base,0.24494163691997528,24.9761962890625,0.01597222127020359,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.3975262988735773
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,convnext_tiny,gpt2_medium,0.24738341569900513,25.09238052368164,0.01770833320915699,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 1024, 'num_samples': 576}",1.399541864953513
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,convnext_tiny,albert_base_v2,0.24742262065410614,24.93187141418457,0.015277777798473835,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.3967548783591126
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,mixer_b16_224,bert_base,0.1572745144367218,12.58205509185791,0.01788194477558136,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.0997515824608883
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,mixer_b16_224,roberta_base,0.15148676931858063,12.585640907287598,0.015277777798473835,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.0998753363289273
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,mixer_b16_224,gpt2_medium,0.15560851991176605,12.624722480773926,0.01892361231148243,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 1024, 'num_samples': 576}",1.1012218401491332
results/quick_cross_modal_20250903_104033/cross_modal_analysis/cross_modal_phase_analysis.json,cross_modal,mixer_b16_224,albert_base_v2,0.15639661252498627,12.570812225341797,0.01440972276031971,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 576}",1.0993633392318134
results/architecture_comparison/cross_modal_phase_analysis.json,cross_modal,resnet18,bert_base,0.47542881965637207,101.94892120361328,0.06466667354106903,chaotic,"{'v_feature_dim': 512, 't_feature_dim': 768, 'num_samples': 150}",2.008382634550125
results/architecture_comparison/cross_modal_phase_analysis.json,cross_modal,resnet18,roberta_base,0.4739905893802643,102.3043441772461,0.06799999624490738,chaotic,"{'v_feature_dim': 512, 't_feature_dim': 768, 'num_samples': 150}",2.0098940756690764
results/architecture_comparison/cross_modal_phase_analysis.json,cross_modal,vit_base_patch16_224,bert_base,0.4028167128562927,154.33221435546875,0.06399999558925629,chaotic,"{'v_feature_dim': 768, 't_feature_dim': 768, 'num_samples': 150}",2.188456587479952
