file,model,dataset,layer,layer_idx,I_X_T,I_Y_T,H_T,efficiency,compression,info_efficiency,compression_ratio
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,layer_0,0,0.033029676738138,0.1,-1.4159119864042662,3.0275803421513396,-10.0,3.0274886824991274,0.66970323261862
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,layer_1,1,0.03197582945959996,0.1,0.8092533318103072,3.1273621885663845,-10.0,3.127264387682388,0.6802417054040004
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,layer_2,2,0.03343416645181094,0.1,3.975649941822959,2.990952388304078,-10.0,2.990862933017752,0.6656583354818906
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,layer_3,3,0.033307469967088346,0.1,-1.8503485727203868,3.0023295104314927,-10.0,3.002239373312814,0.6669253003291166
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,summary,-1,0.033029676738138,0.1,,,,3.0274886824991274,0.66970323261862
results/cmdline_test/convnext_tiny_cifar10_analysis.json,convnext_tiny,cifar10,summary_final,999,0.033307469967088346,0.1,,,,3.002239373312814,0.6669253003291166
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_0,0,0.03265442800847902,0.1,-2.104006559406132,3.0623718159765065,-10.0,3.062278037636955,0.6734557199152098
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_1,1,0.03164999813368898,0.1,-2.4257790519447036,3.1595578482375237,-10.0,3.1594580233335856,0.6835000186631102
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_2,2,0.03312824108816705,0.1,-1.9251070809529742,3.018572574796874,-10.0,3.0184814597433545,0.6687175891183295
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_3,3,0.03307668731446808,0.1,-1.134430504062733,3.0232773629739818,-10.0,3.0231859636771015,0.6692331268553193
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_4,4,0.03135620272270245,0.1,-2.7901660248836757,3.189161675102904,-10.0,3.189059970824519,0.6864379727729755
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_5,5,0.031348146973857856,0.1,-3.2099868414746466,3.1899812159038605,-10.0,3.189879459348297,0.6865185302614214
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_6,6,0.03244531313205687,0.1,-3.0942767762425447,3.0821092585232974,-10.0,3.0820142674762105,0.6755468686794313
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_7,7,0.031976360624481164,0.1,-3.3635048506195475,3.127310239409791,-10.0,3.1272124417748914,0.6802363937551884
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_8,8,0.03197574219527392,0.1,-3.652103356445042,3.1273707233848107,-10.0,3.1272729219670086,0.6802425780472608
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_9,9,0.031929435033932044,0.1,-3.2898163830211065,3.1319063395180033,-10.0,3.131808254216748,0.6807056496606796
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_10,10,0.03226885736428792,0.1,-2.6122167382451074,3.09896315419803,-10.0,3.0988671214477383,0.6773114263571208
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,layer_11,11,0.032823173497655,0.1,-2.379363024926945,3.046628017462856,-10.0,3.0465352008678646,0.67176826502345
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,summary,-1,0.03265442800847902,0.1,,,,3.062278037636955,0.6734557199152098
results/cmdline_test/mixer_b16_224_cifar10_analysis.json,mixer_b16_224,cifar10,summary_final,999,0.032823173497655,0.1,,,,3.0465352008678646,0.67176826502345
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_0,0,0.03437710434516991,0.1,-1.7597896638741544,2.9089128332604988,-10.0,2.908828217983168,0.6562289565483008
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_1,1,0.03438281352001527,0.1,-2.543649238747757,2.908429816012206,-10.0,2.908345228832418,0.6561718647998473
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_2,2,0.03371896061092248,0.1,0.22534310620847509,2.9656904657852152,-10.0,2.9656025151941687,0.6628103938907752
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_3,3,0.034094295616122705,0.1,1.1432905311004142,2.9330419705961437,-10.0,2.9329559457672754,0.659057043838773
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_4,4,0.03485907794228878,0.1,-2.6040124908561344,2.868693204265351,-10.0,2.8686109126190438,0.6514092205771123
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_5,5,0.0344712217901556,0.1,-2.762412847149579,2.900970572170387,-10.0,2.90088641830906,0.6552877820984441
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_6,6,0.033805602500162193,0.1,-3.0281758545833544,2.958089565169567,-10.0,2.95800206481915,0.6619439749983781
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_7,7,0.033653196758705144,0.1,-2.981577387093059,2.97148591015006,-10.0,2.971397615488581,0.6634680324129486
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_8,8,0.033966586312802916,0.1,-2.7925923360807463,2.9440697713654944,-10.0,2.9439830984490185,0.6603341368719708
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_9,9,0.03378745465102917,0.1,-2.248008214391396,2.95967840823884,-10.0,2.95959081386855,0.6621254534897083
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_10,10,0.032967658725791237,0.1,-1.5625349740907952,3.0332757576675613,-10.0,3.033183752840101,0.6703234127420876
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,layer_11,11,0.03326697393646549,0.1,-0.9139568247648702,3.0059842590727897,-10.0,3.00589390237524,0.6673302606353452
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,summary,-1,0.03437710434516991,0.1,,,,2.908828217983168,0.6562289565483008
results/cmdline_test/vit_base_patch16_224_cifar10_analysis.json,vit_base_patch16_224,cifar10,summary_final,999,0.03326697393646549,0.1,,,,3.00589390237524,0.6673302606353452
results/cmdline_test/resnet18_cifar10_analysis.json,resnet18,cifar10,layer_0,0,0.032427365179664616,0.1,-0.07093093001574181,3.0838151495179313,-10.0,3.0837200532917595,0.6757263482033539
results/cmdline_test/resnet18_cifar10_analysis.json,resnet18,cifar10,layer_1,1,0.032085618756236785,0.1,-0.44858577519636345,3.116661104768692,-10.0,3.1165639720315705,0.6791438124376321
results/cmdline_test/resnet18_cifar10_analysis.json,resnet18,cifar10,layer_2,2,0.031686735738747675,0.1,-0.6837178831334513,3.1558946565050063,-10.0,3.155795062937245,0.6831326426125233
results/cmdline_test/resnet18_cifar10_analysis.json,resnet18,cifar10,layer_3,3,0.03216908007188783,0.1,-2.6563752650514187,3.108575059545728,-10.0,3.1084784301605164,0.6783091992811217
